x,y,ux,uy
8.75,2.5,0.02274959,0.002290665
15.3125,15,0.026355049,0.000296824
16.40625,20,0.027919996,-0.000754295
10.9375,5,0.023944248,0.001464241
13.125,8.75,0.025116686,0.001097934
15.3125,13.75,0.026450085,0.000338476
16.40625,17.5,0.027217282,8.0107E-07
7.65625,0,0.016435706,0.002568918
8.75,1.25,0.022415259,0.002678544
14.21875,10,0.025598327,0.000969287
9.84375,2.5,0.023350976,0.002521087
15.3125,12.5,0.026328966,0.00064329
13.125,7.5,0.025116434,0.001444548
10.9375,3.75,0.023690861,0.002009856
16.40625,15,0.027196886,0.000380349
12.03125,5,0.024204827,0.001674713
17.5,20,0.02875882,-0.001090467
15.3125,11.25,0.02571071,0.001162984
17.5,18.75,0.02805158,-0.000641289
13.125,6.25,0.024971141,0.001311356
8.75,0,0.018767665,0.002556487
17.5,17.5,0.027660225,-0.000250152
10.9375,2.5,0.023303276,0.001945313
15.3125,10,0.026560957,0.000882108
14.21875,7.5,0.025424042,0.001387602
16.40625,12.5,0.026962214,0.000883777
17.5,16.25,0.027697502,-0.000177496
13.125,5,0.024855533,0.002116826
17.5,15,0.027528796,0.000244708
15.3125,8.75,0.026382226,0.000753709
9.84375,0,0.022839354,0.002390729
18.625,20,0.031013403,-0.000681326
10.9375,1.25,0.02375912,0.002206248
12.03125,2.5,0.024787536,0.002383933
17.5,13.75,0.027607263,0.000878709
18.625,17.5,0.028329694,-0.000222452
13.125,3.75,0.024951501,0.001804446
16.40625,10,0.026606932,0.000884363
15.3125,7.5,0.026305691,0.00108044
17.5,12.5,0.027326357,0.00045554
14.21875,5,0.025490571,0.00130204
10.9375,0,0.026428903,0.001511673
18.625,15,0.028098785,-0.000161347
17.5,11.25,0.027111753,0.000904946
15.3125,6.25,0.025777816,0.001642378
13.125,2.5,0.02490101,0.001998424
19.75,20,0.023154672,0.000603718
19.75,18.75,0.028912703,-0.000668141
17.5,10,0.027523122,0.00090001
16.40625,7.5,0.026814549,0.001196705
19.75,17.5,0.028942854,-0.000419241
15.3125,5,0.026080418,0.001627048
18.625,12.5,0.028230686,0.000662399
12.03125,0,0.024505779,0.001622843
19.75,16.25,0.029070646,-0.000255689
13.125,1.25,0.024824385,0.002120242
17.5,8.75,0.027098529,0.001006968
14.21875,2.5,0.024997512,0.002275474
19.75,15,0.028939815,0.000101443
20.875,20,0.02943123,-0.000737946
15.3125,3.75,0.025695855,0.001689226
19.75,13.75,0.028643008,0.00028932
17.5,7.5,0.02722877,0.001096929
18.625,10,0.027934102,0.000667154
13.125,0,0.02986359,0.001217035
16.40625,5,0.026767329,0.001396503
20.875,17.5,0.029459975,-0.000277651
19.75,12.5,0.028706454,0.000538225
15.3125,2.5,0.02572843,0.001832048
17.5,6.25,0.02732636,0.001097744
19.75,11.25,0.028098954,0.000797891
20.875,15,0.029394233,-0.000134624
22,20,0.030983478,-0.000340501
14.21875,0,0.037527018,-5.27081E-05
18.625,7.5,0.027768701,0.000977764
22,18.75,0.029980231,-0.000664256
19.75,10,0.028556739,0.000737945
17.5,5,0.027180342,0.001268218
15.3125,1.25,0.025574301,0.002121167
22,17.5,0.03009245,0.000265299
20.875,12.5,0.029132577,-4.65468E-05
16.40625,2.5,0.026318575,0.001764915
22,16.25,0.029704225,0.000266669
19.75,8.75,0.028404864,0.000844551
17.5,3.75,0.026946318,0.001472642
22,15,0.030252876,0.000440736
15.3125,0,0.021259215,0.001138482
23.125,20,0.030946492,-0.000639004
19.75,7.5,0.028410983,0.000948894
22,13.75,0.030064579,0.000293368
18.625,5,0.027693179,0.001425615
20.875,10,0.028610003,0.000912598
17.5,2.5,0.02647744,0.00219993
23.125,17.5,0.030337841,-0.000807606
22,12.5,0.029682809,0.000811111
19.75,6.25,0.028448759,0.000764686
16.40625,0,0.027365618,0.002060391
22,11.25,0.029333547,0.000497632
23.125,15,0.030124794,0.000378851
17.5,1.25,0.026915068,0.002034786
20.875,7.5,0.028762555,0.000838312
19.75,5,0.028038093,0.001257501
24.25,20,0.031987132,-0.000895726
22,10,0.029555268,0.000994295
24.25,18.75,0.031358699,-0.000728368
18.625,2.5,0.027353062,0.001247002
24.25,17.5,0.03094187,-0.000360022
23.125,12.5,0.030062221,-6.87151E-05
22,8.75,0.02935461,0.000933507
17.5,0,0.031250503,0.002966759
19.75,3.75,0.028101541,0.001372374
24.25,16.25,0.030769339,-7.49213E-05
24.25,15,0.030682113,0.000204151
22,7.5,0.029367785,0.001019635
20.875,5,0.028575802,0.001419659
25.375,20,0.031733414,-0.000722653
24.25,13.75,0.030838289,0.000365069
23.125,10,0.029843458,0.000467726
19.75,2.5,0.028036415,0.001938393
24.25,12.5,0.03079883,9.71425E-05
25.375,17.5,0.031770263,4.21167E-05
22,6.25,0.02940665,0.000895465
18.625,0,0.028315224,0.002614613
19.75,1.25,0.027984893,0.001308742
24.25,11.25,0.030348001,0.00040011
25.375,15,0.031499475,0.000311566
22,5,0.028984684,0.001099276
23.125,7.5,0.029766807,0.000784
20.875,2.5,0.02873276,0.001900981
24.25,10,0.03022348,0.000723491
26.5,20,0.03293304,-0.000712528
26.5,18.75,0.03249743,-0.00057865
19.75,0,0.024593589,0.001784222
25.375,12.5,0.031018632,0.000574848
22,3.75,0.02906787,0.001235399
26.5,17.5,0.032479525,-0.000283715
24.25,8.75,0.030341328,0.000570718
26.5,16.25,0.032343821,0.000360315
23.125,5,0.030131982,0.001246095
26.5,15,0.032001789,0.00026184
24.25,7.5,0.030747198,0.000658453
22,2.5,0.029239742,0.00159726
25.375,10,0.030795415,0.000828152
26.5,13.75,0.031813219,-2.2061E-05
27.625,20,0.033492689,-0.000605027
