-3.088282045799191182e-03,9.660450008825208473e-04,2.743638248211098876e-03,6.785822203044735053e-03,-3.776867812678095550e-03,-8.206259236823229899e-03,-9.077058322674674785e-04,-3.682257290317695968e-04
-3.127722927103543122e-03,9.296401845506421530e-04,2.512073929212418899e-03,6.661802454116584268e-03,-3.007626902213114337e-03,-7.831704402290844830e-03,8.907133355672754724e-04,-2.082145795659849728e-03
-3.128401683324973700e-03,8.777274199792531100e-04,2.346396319830460018e-03,6.724557365078346824e-03,-2.731496881773177402e-03,-8.024609118008277017e-03,1.100734671384683006e-03,-1.998742299545829514e-03
-3.172149557199013467e-03,9.910818020392791680e-04,2.695027672473180452e-03,7.180843637662524467e-03,-3.424919071432873299e-03,-6.919892282099632252e-03,6.510962072291321713e-04,-3.904268277476995175e-04
-3.134335877272147967e-03,8.322534186293039943e-04,2.199092563541058150e-03,6.653820503580628112e-03,-2.582123607353196786e-03,-7.961250349290306325e-03,3.722005639989525694e-04,-1.963304960944205202e-03
-3.190723879940466755e-03,9.138889177165626437e-04,2.412926019098016270e-03,6.834261306182597834e-03,-2.827047732900432250e-03,-8.065524704431881881e-03,1.369983390645501588e-03,-2.093186381418948860e-03
-3.219610895773605819e-03,9.626107431471961524e-04,2.552177865469906336e-03,7.025857294301918708e-03,-2.810219690517338272e-03,-7.526186720683148389e-03,3.726559236787647706e-04,-2.426563941925228424e-03
-3.079064944731756213e-03,6.474244781385132255e-04,1.645475370351902767e-03,6.443608498614392804e-03,-1.930466589194880208e-03,-7.638704686832602578e-03,1.266712601325131532e-04,-1.930088076986254337e-03
-3.203337390792847846e-03,8.782487410377170676e-04,2.308441748635020347e-03,6.839218946333761560e-03,-2.620741938623378890e-03,-8.022213318124032586e-03,1.691219315334194890e-04,-2.208199433741551022e-03
-3.139064651555175268e-03,7.854087673903906251e-04,2.034644009618799630e-03,6.639130778627122878e-03,-2.311732876692879687e-03,-7.955572683576606074e-03,5.118885189016890349e-04,-2.344620400705226763e-03
-3.255844725122991092e-03,1.018269304873070397e-03,2.716087174799886213e-03,7.044201922552199499e-03,-3.257595995888267534e-03,-8.627264881621053011e-03,7.518439392511585976e-04,-2.551230817433252415e-03
-3.143838920934664827e-03,7.355341465321936414e-04,1.874372677939139739e-03,6.638939855911995744e-03,-2.123848356429802568e-03,-7.907312262033252409e-03,5.840135965313964167e-04,-2.248066821890283649e-03
-3.084742036821558949e-03,5.988887860001734786e-04,1.515952849099185592e-03,6.412951784219671908e-03,-1.501743577381135569e-03,-7.791809437261908340e-03,1.321987510008638023e-04,-1.298049429491470071e-03
-3.090637362530323281e-03,5.531934831245635762e-04,1.385449816069768587e-03,6.391989247628395050e-03,-1.449338220696987914e-03,-7.963739430052768631e-03,-1.801818150606148273e-04,-1.704539436156808077e-03
